specification_description,work_category
OBLITERATING ABANDONED ROAD,EARTHWORK
BACKFILLING PAVEMENT EDGES,PAVEMENT
SPECIALIZED EXCAVATION WORK,EARTHWORK
SEEDING FOR EROSION CONTROL,LANDSCAPE
SUPERPAVE MIXTURES,PAVEMENT
MICROSURFACING,PAVEMENT
PREFABRICATED PEDESTRIAN STEEL TRUSS BRIDGE SPAN,STRUCTURES
TRENCH DRAIN,DRAINAGE
CATTLE GUARD,SITE_WORK
REMOVE AND RE-LAY EXISTING STONE RIPRAP,DRAINAGE
INSTALL BRIDGE IDENTIFICATION NUMBERS,STRUCTURES
CURED-IN-PLACE PIPE (CIPP) (DRAINAGE STRUCTURES),DRAINAGE
REINFORCED CONCRETE LOW-HEAD PRESSURE PIPE (MATERIAL ONLY),DRAINAGE
FENDER PILE ANODES,SAFETY
CONCRETE SOUND (NOISE) WALLS,STRUCTURES
MICROPILING,STRUCTURES
RAIL (PEDESTRIAN),STRUCTURES
"JACKING, BORING, OR TUNNELING PIPE OR BOX",DRAINAGE
CONDRETE BRIDGE DECK SURFACING,STRUCTURES
TUNNEL CONSTRUCTION BY MICROTUNNEL BORING MACHINE,DRAINAGE
PATCHING MILLED CONCRETE RUMBLE STRIPS,TRAFFIC_CONTROL
SIDEWALK CONSTRUCTION NEXT TO HISTORIC RESOURCES,SITE_WORK
DUMPSTER ENCLOSURE,SITE_WORK
COLORED TEXTURED CONCRETE AND LANDSCAPE PAVERS,LANDSCAPE
MILLED RUMBLE STRIPS,TRAFFIC_CONTROL
CONCRETE MEDIANS AND DIRECTIONAL ISLANDS,PAVEMENT
RIGHT OF WAY MARKERS,TRAFFIC_CONTROL
CHAIN LINK FENCE,SITE_WORK
DYNAMIC LED CURVE WARNING SYSTEM W/LED ADVANCE CURVE WARNING SIGN,SIGNALS
SMALL ROADSIDE SIGN ASSEMBLIES,TRAFFIC_CONTROL
SHIFTING OR REMOVING EXISTING OVERHEAD SIGNS,TRAFFIC_CONTROL
MULTIPOLYMER PAVEMENT MARKINGS WITH WARRANTY,TRAFFIC_CONTROL
DYNAMIC LED CHEVRON SYSTEM,SIGNALS
RELOCATE INTELLIGENT TRANSPORTATION SYSTEM (ITS) HUB EQUIPMENT,SIGNALS
